Hanzi	Keyword	Traditional	Strokes	Number	Lesson	Pinyin	Notes	Frequency	No Frequent	Pinyin2	Meaning						
污	filthy	污		2287	32	Wū			1405	wu1	see 污, dirt/filth						
夸	brag	誇		2288	32	Kuā			1955	kua1	to boast						
垮	collapse	垮		2289	32	Kuǎ			2674	kua3	collapse						
挎	carry on the arm	挎		2290	32	kuà			4005	kua4	(v) carry on one's arm/(v) carry over one's shoulder or slung on one's side						
鳄	crocodile	鱷		2291	32	È			3781	e4	crocodile/alligator						
愕	stunned	愕		2292	32	È			2766	e4	startled						
身	Somebody		7	1028	33	{shēn,yuán,juān}	Somebody was just looking for you. He had a long nose that reaches down below his mouth, a long jaw sticking out past his mouth, and a scar across his face	0,129054168	164	shen1	body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit						
射	Shoot		10	1029	33	{shè,yì,yè}	You shoot somebody with a glue gun	0,027484701	703	she4	radio- (chem.)/shoot						
谢	Thank		12	1030	33	xiè	You shout some words of thanks out to the laoshi as you shoot quickly past her and out of the door	0,019405282	897	xie4	(surname)/to thank						
老	Old man		6	1031	33	lǎo	An old man, wondering what it's like in a grave, *sits* in a freshly dug plot.  When a gravekeeper mistakes him for dead and begins burying him with *soil*, the old man saves himself by flailing his *walking stick* in the air.	0,115268924	179	lao3	(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people)						
考	Take an exam		6	1032	33	kǎo	Santa Claus isn't really a 1700 year old man. Instead, potential applicants take the exam, hoping to be slung(shot) into fame and glory in the role of the well-loved saint	0,042731929	495	kao3	to check/to verify/to test/to examine						
烤	Roast		10	1033	33	kǎo	It's sweltering in the exam hall - in fact, it's so hot that your brain has overheated and your hair caught on fire due to the strain of taking the exam	0,001614954	2629	kao3	to roast/bake/to broil						
与	Offer		4	1034	33	{yǔ,yù,yú}	You are forced into accepting the mafiosas offer of protection at slingshot-point(ed tail)	0,178565801	108	yu2/yu3/yu4	(interrog. part.), and/to give/together with, take part in						
写	Write		5	1035	33	xiě	You offer to write Royalist propaganda for the crown. It's dirty work, but it noone can beat their offer of royalties.	0,048427935	448	xie3	to write						
泻	Diarrhea		8	1036	33	xiè	Diarrhea flows out like water, writing off the meal that you ate last night.	0,001455267	2715	xie4	to flow (out) swiftly/diarrhea						
孝	Filial piety		7	1037	33	xiào	Watch out children: Santa Claus won't get you a present if you don't practice filial piety!	0,003158591	2116	xiao4	filial						
教	Teach		11	1038	33	{jiào,jiāo}	The job of a school taskmaster is to teach filial piety to the children, so they are eligible for presents from Santa Claus.	0,107943495	191	jiao1/jiao4	teach, religion/teaching						
者	Someone		10	1039	33	{zhě,zhū}	Having that special someone in your life is like getting a wonderful present from Santa Claus every single day! Todays present is a puppet on a string!	0,186545997	103	zhe3	-ist, -er (person)/person (who does sth)						
著	Author		14	1040	33	{zhù,zhuó,chú,zhāo,zháo,zhe}	Authors tell a story by conjuring up a setting (the plastic flowers) and characters (the unconvincing puppets playing below them).	0,023895628	777	zhu4/zhe	0						
猪	Pig		11	1041	33	zhū	A pack of wild dogs chases Pinocchio, who's trying to escape by riding on the back of a pig. See him bouncing around as they race along?	0,004927546	1762	zhu1	hog/pig/swine						
追	Chase		10	1042	33	{zhuī,duī,tuī}	The maestro, coattails wildly flapping, is pursued down the road by his fans	0,024329727	768	zhui1	pursue (a problem)/to chase						
官	Bureaucrat		8	1043	33	guān	No one likes classical music anymore. Our Maestro is here at home without his baton, sighing sadly before he heads off for another day as his new job as a bureaucrat.	0,050591714	432	guan1	official/government						
管	Pipe		14	1044	33	guǎn	Pipes can be made out of hollow bamboo stalks, and promoting this use is exactly the job of the Bamboo Marketing Board bureaucrat	0,088238995	252	guan3	to take care (of)/to control/to manage/to be in charge of/to look after/to run/tube/pipe						
父	Father		4	1045	33	{fù,fǔ}		0,035439057	589	fu4	father						
交	Mingle		6	1046	33	jiāo	Even though your father is an old man, he still dons his top hat and goes to mingle at all the parties, trying to pick up some girls	0,070141696	320	jiao1	to deliver/to turn over/to make friends/to intersect (lines)/to pay (money)						
效	Effect		10	1047	33	xiào	The effect of constant student lobbying was to merge the MCR with the SCR so they got to mingle with their taskmasters (and use the MCR TV facilities!)	0,038246751	551	xiao4	imitate, effect/efficacy/imitate						
较	Relatively		10	1048	33	{jiào,jué}	You can repeat Einstein's famous experiments about relatively fast objects by going to any place where car owners mingle (like a car show) and getting them to demonstrate the power of their engines	0,042825984	491	jiao4	clear/distinct/compare/comparatively						
校	School		10	1049	33	{xiào,jiǎo,jiào,xiáo}	At ninja school you learn to mingle with the trees and hence become invisible. The end of term results are posted on the same trees, with prospective ninja students mingling with each other while they wait for the posting.	0,03266082	633	jiao4/xiao4	proofread/to check/to compare, school						
足	Lower leg		7	1050	33	{zú,jù}	This pirates lower leg (from the kneecap to the foot) was taken off by the mouth of a shark and replaced with a wooden one, so now wherever he goes he leaves a trail of circular footprints	0,039991418	527	zu2	foot/to be sufficient						
跑	Run		12	1051	33	{pǎo,páo,bó}	The pirate wraps his wooden leg in an electric rollerskate in order to outrun even the fastest unaugmented runner.	0,020411462	864	pao3	to run/to escape						
跳	Jump		13	1052	33	{tiào,tiáo,táo,diào}	Captain Ahab's wooden leg is so sensitive to Moby Dick that when it starts to throb and cause him to jump around it is a sure portent that it is close!	0,016187778	999	tiao4	jump/hop/skip (a grade)/to leap/to bounce/to beat						
路	Path		13	1053	33	{lù,luò}	It's easy to find which path the pirates took - you can see where each one went by looking at the distinctive diameter of the footprints left by their wooden legs	0,073286333	305	lu4	(surname)/road/path/way						
露	Dew		20	1054	33	{lù,lòu}	It's wonderful to go out along the paths around your house after a night of rain, as you can watch the dew condensed on everything on the path	0,021164418	841	lu4/lou4	to show/to reveal/to expos/dew						
骨	Skeleton		10	1055	33	{gǔ,gū,gú}	This is the grisly skeleton of a recently slain prince - still wearing its crown and  with its joints still held together by some rotting flesh	0,01507979	1036	gu3	bone						
滑	Slippery		13	1056	33	{huá,gǔ}	"""Caution: slippery when wet"" is the sign you have to put on the floor after you try and give some water to a skeleton and it falls right through it"	0,007391578	1480	gu3/hua2	comical, comical/cunning/slippery/smooth						
躺	lie down	躺		2293	33	Tǎng			1608	tang3	to recline/to lie down						
躲	dodge	躲		2294	33	Duǒ			1644	duo3	avoid/get out of way/to hide/to go into hiding						
躬	stoop	躬		2295	33	Gōng			2650	gong1	body/oneself/personally/to bow						
嗜	hanker	嗜		2296	33	Shì			2988	shi4	addicted to/fond of						
姥	maternal grandmother	姥		2297	33	lǎo			2874	lao3/mu3	grandma (maternal), governess/old woman						
拷	flog	拷		2298	33	Kǎo			3230	kao3	to beat/to flog/to examine by torture						
屿	islet	嶼		2299	33	Yǔ			2636	yu3	islet						
暑	summer heat	暑		2300	33	Shǔ			2743	shu3	heat/hot weather/summer heat						
睹	behold	睹		2301	33	Dǔ			2568	du3	observe/see						
署	add your John Hancock	署		2302	33	Shǔ			1379	shu3	office/bureau						
薯	yam	薯		2303	33	Shǔ			3363	shu3	potato/yam						
赌	gamble	賭		2304	33	Dǔ			2037	du3	bet/gamble						
奢	extravagant	奢		2305	33	Shē			2708	she1	extravagant						
堵	stop up	堵		2306	33	Dǔ			2284	du3	stop up						
煮	boil	煮		2307	33	Zhǔ			2582	zhu3	to cook/to boil						
诸	various	諸		2308	33	Zhū			1021	zhu1	(surname)/all/many/various						
储	put in storage	儲		2309	33	Chǔ			1526	chu3	savings/to save/to deposit/to store/(a surname)						
屠	slaughter	屠		2310	33	Tú			2171	tu2	slaughter/slaughter man						
棺	coffin	棺		2311	33	Guān			2686	guan1	coffin						
爹	dad	爹		2312	33	Diē			2004	die1	dad						
斧	axe	斧		2313	33	Fǔ			2771	fu3	hatchet						
咬	bite	咬		2314	33	Yǎo			1658	yao3	bite/nip						
胶	gum	膠		2315	33	Jiāo			2170	jiao1	glue/gum						
狡	sly	狡		2316	33	Jiǎo			2670	jiao3	crafty/cunning/sly						
捉	catch	捉		2317	33	Zhuō			1822	zhuo1	to clutch/to grab/to capture						
促	urge	促		2318	33	Cù			1102	cu4	to hurry/to rush/to hasten/near/to promote						
趴	prostrate oneself	趴		2319	33	Pā			2977	pa1	to lie on one's stomach						
踏	trample	踏		2320	33	Tà			1753	ta4	step on						
践	tread on	踐		2321	33	Jiàn			1578	jian4	fulfill (a promise)/tread/walk						
跃	leap	躍		2322	33	Yuè			1516	yue4	to jump/to leap						
蹄	hoof	蹄		2323	33	Tí			2648	ti2	hoof/pork shoulder						
踩	step on	踩		2324	33	Cǎi			2570	cai3	step upon/tread on/stamp						
蹦	hop	蹦		2325	33	Bèng			2839	beng4	to jump/bounce or hop						
跌	slump	跌		2326	33	Diē			1590	die1	to drop/to fall/to tumble						
踢	kick	踢		2327	33	Tī			2444	ti1	kick/play (football or soccer)						
踪	tracks	蹤		2328	33	Zōng			1532	zong1	footprint/trace/tracks						
跨	straddle	跨		2329	33	Kuà			1774	kua4	step across/step astride						
躁	impetuous	躁		2330	33	Zào			2451	zao4	hot-tempered/impatient						
噪	chirping	噪		2331	33	Zào			2799	zao4	chirp/mixture of voices/noise/buzzing/clamor, disturbance/noise of crowd						
澡	bath	澡		2332	33	Zǎo			2695	zao3	bath						
藻	algae	藻		2333	33	Zǎo			2652	zao3	(aquatic grasses)/elegant						
燥	parched	燥		2334	33	Zào			2613	zao4	dry/parched/impatient						
操	exercise	操		2335	33	Cāo			1173	cao1	to hold/to drill/to exercise/to act/to do/to take in hand/to keep/to manage						
猾	cunning	猾		2336	33	Huá			3083	hua2	sly						
髓	marrow	髓		2337	33	Suǐ			2808	sui3	marrow						
阿	Apollo		8	1057	34	{ā,à,a,ē,ě,ǎ}	Apollo is the only god who can reach the pinnacle of Mount Olympus, due to it's height and rareified air	0,045042475	471	a1/a4/a/e1	an initial particle/prefix to names of people, (phonetic character), (final part.)/(interj.), flatter						
啊	Aah!		11	1058	34	a	"Lady's mouths hang open when they see Apollo's physique, and the only word that escapes is ""aah!"""	0,024931782	753	a1/a2/a3/a4/a	(interj.)/ah, an interjection/to express doubt or to question/to show realization/to stress, (interj. for surprise), oh (interjection), (a modal particle showing affirmation, approval, or consent)						
随	As you wish		12	1059	34	suí	"""As you wish, my Lord"". What does your Lord wish? Well, to reach the pinacle of sexual prowess, possess everything and make inroads on other lord's territory"	0,042685935	498	sui2	to follow/to comply with/to allow/(surname)						
阳	Yang		7	1060	34	yáng	The sunny side of the slope - sun at the pinnacle	0,031455161	650	yang2	positive (electric.)/sun						
阴	Yin		7	1061	34	{yīn,yìn,ān}	The shady side of the slope - the darkness of a new moon at the pinnacle	0,01650405	987	yin1	(of weather) overcast/Yin/feminine/moon/cloudy/negative (electric.)/shady						
荫	Shady		12	1062	34	{yìn,yīn}	Few flowers will grow on this shady slope	0,001535885	2669	yin4/yin1	shade						
防	Ward off		7	1063	34	fáng	To ward off enemies, the ancient Greeks kept a lookout from the Acropolis, from which they could see for miles in all directions	0,038479304	548	fang2	to protect/to defend/to guard (against)						
附	Attach		8	1064	34	{fù,pǒu,bù,fū}	When climbing up the pinnacle of a mountain, you had better attach yourself to the rock, or you could pay with your life!	0,018581009	923	fu4	to add/to attach/to be close to/to be attached						
际	Occasion		8	1065	34	jì	This is an occasion to be remembered! A real human sacrifice on an altar here in the Acropolis! We're so lucky!	0,051374644	423	ji4	border/edge/boundary/between/among/interval/while						
阶	Stairs		7	1066	34	jiē	These stairs will lead you to the pinnacle - but you're going to have to use some ambulatory apparatus (an umbrella or a pair of crutches) to get up them in one piece	0,025352445	745	jie1	rank or step/stairs						
院	Inst.		10	1067	34	yuàn	The Acropolis was the site of an institute that studied the Greek gods - that all finished with the fall of the Acropolis, however	0,065174357	338	yuan4	courtyard/institution						
阵	Battle formation		7	1068	34	zhèn	The military command unit is watching the formations of battle form up from their command car on top of the Acropolis	0,023203136	788	zhen4	disposition of troops/short period/wave/spate/burst/spell						
队	Team		5	1069	34	{duì,suì,zhuì}	A team of people, when properly trained, can represent the pinnacle of efficiency of a person	0,084203936	268	dui4	squadron/team/group						
坠	Crash		7	1070	34	zhuì	This airplane crash sends the whole English football team into the ground at a fatal velocity. Thousands mourn, while others secretly rejoice that they'll never have to hear about their antics again.	0,00257359	2279	zhui4	fall						
降	Descend		9	1071	34	{jiàng,xiáng,xiàng}	The monocle-wearing Sir Patrick Moore descends from the Acropolis (where he has been making some astronomical observations), his walking legs going nineteen to the dozen as he sweats profusely	0,025480608	744	jiang4/xiang2	to drop/to fall/to come down/to descend, surrender						
穴	Hole		5	1072	34	{xué,jué,xuè}	Hole in eight! By the house rules for this golf hole, that means that you win the round!	0,004016454	1940	xue2	hole/cave						
究	Research		7	1073	34	{jiū,jiù}	Research scientists have nine holes in their face: two nostrils, two ears, a mouth and four eyes	0,050839771	429	jiu1	after all/to investigate/to study carefully						
突	Abruptly		9	1074	34	{tū,tú}	The chihuahua's yapping stopped abruptly when I tired of its noise and pushed it through the dog flap (a hole in the door) and into the cold outside	0,043654907	484	tu1	to dash/to move forward quickly						
空	Empty		8	1075	34	{kōng,kòng,kǒng}	If you want to make something empty, you first need to work to make a hole in it	0,081930598	272	kong1/kong4	air/sky/empty/in vain, emptied/leisure						
控	Control		11	1076	34	{kòng,qiāng}	A control-freak feels empty inside if she doesn't have a knob to twiddle or a button to push with her fingers	0,023598476	780	kong4	to accuse/to charge/to control/to sue						
深	Deep		11	1077	34	shēn	Spring cleaning one day, you open the deepest drawer of your desk and find not only your beloved paper punch, but also a tiny tree growing out of the wood, fed by a trickle of water from the neighbouring pipes	0,054739949	401	shen1	deep/profound						
探	Spy		11	1078	34	{tàn,tān}	In an instance of brazen industrial espionage, this spy steals the plans for a new superweapon of the paper punch world - a punch that is capable of punching through an entire tree, using hydralics!	0,018723126	917	tan4	to explore/to search out/to scout/to visit						
丘	Hill		5	1079	34	qiū	A row of tomahawks driven into the ground of a hill up to their heads	0,004075368	1929	qiu1	Confucius/given name/mound, earthenware, earthenware vessel						
兵	Troops		7	1080	34	bīng	Listen up troops! You are no longer men with human legs, but animals with animal legs! Now, go! Use those powerful legs to take that hill!	0,055286707	398	bing1	soldiers/a force/an army/weapons/arms/military/warlike						
陌	footpath	陌		2338	34	Mò			2243	mo4	raised path/street						
隙	rift	隙		2339	34	Xì			2419	xi4	crack/occasion for dislike						
陡	steep	陡		2340	34	Dǒu			2362	dou3	steep						
陪	accompany	陪		2341	34	Péi			1664	pei2	to accompany/to keep sb. company						
障	barrier	障		2342	34	Zhàng			1237	zhang4	to block/to hinder/to obstruct						
隧	tunnel	隧		2343	34	Suì			3342	sui4	subterranean/underground passage						
陋	undesirable	陋		2344	34	Lòu			2660	lou4	low/humble/plain/ugly/mean/vulgar						
隐	hidden	隱		2345	34	Yǐn			1034	yin3	secret/hidden/concealed						
陕	Shaanxi Province	陝		2346	34	shǎn			2159	shan3/Shan3	Shaanxi						
陵	mausoleum	陵		2347	34	Líng			1965	ling2	mound/tomb/hill/mountain						
棱	edge	棱		2348	34	léng			2897	leng2	corner/square beam						
菱	water caltrop	菱		2349	34	Líng			2802	ling2	Trapa natans/water caltrop						
凌	bully	凌		2350	34	Líng			1731	ling2	encroach/soar/thick ice						
融	melt	融		2351	34	Róng			1225	rong2	harmonious/melt/mild						
隔	separate	隔		2352	34	Gé			1319	ge2	to separate/to stand or lie between/to divide/to cut off						
窃	pilfer	竊		2353	34	Qiè			2103	qie4	I beg to presume/steal						
挖	dig	挖		2354	34	Wā			1860	wa1	to dig/to excavate/to scoop out						
帘	drapes	簾		2355	34	Lián			2458	lian2	wine shop sign						
窥	peep	窺		2356	34	Kuī			2748	kui1	peep/pry into						
穷	poor	窮		2357	34	Qiǒng			1343	qiong2	exhausted/poor						
窄	strait	窄		2358	34	Zhǎi			2244	zhai3	narrow						
榨	extract	榨		2359	34	Zhà			3657	zha4	salted vegetable/to extract						
窟	den	窟		2360	34	Kū			2924	ku1	cave/hole						
窘	poverty-stricken	窘		2361	34	Jiǒng			2979	jiong3	distressed/embarrassed						
窜	scurry	竄		2362	34	Cuàn			2461	cuan4	flee/escape/run away/leap						
腔	body cavity	腔		2363	34	Qiāng			1914	qiang1	cavity of body/tune						
窝	hollow	窩		2364	34	Wō			1962	wo1	nest						
涡	whirlpool	渦		2365	34	Wō			2759	guo1/wo1	name of a river, eddy/whirlpool						
锅	pot	鍋		2366	34	Guō			2074	guo1	pot/pan/boiler						
祸	misfortune	禍		2367	34	Huò			1870	huo4	disaster						
蜗	snail	蝸		2368	34	Wō			3723	wo1	0						
宾	visitor	賓		2369	34	Bīn			1534	bin1	visitor/guest						
滨	water's edge	濱		2370	34	Bīn			2474	bin1	shore/beach/coast/bank						
怜	pity	憐		2439	34	Lián			1599	lian2	to pity						
丝	Silk		5	1081	35	sī	Silk thread needs to be doubled before you can use it in sewing, due to its fragility	0,015289088	1026	si1	silk/thread/trace						
织	Weave		8	1082	35	{zhī,zhì}	If you use thread to weave something yourself then the result will be truly unique - the only one of its kind, unlike industrially manufactured clothes.	0,035907265	578	zhi1	weave						
线	Line		8	1083	35	xiàn	Have you ever wondered why the floats in a parade always proceeded in a line, rather than side-by-side? The answer is that they are all attached together with a super-strong thread, being dragged by a tractor at the front!	0,050779824	430	xian4	thread/string/wire/line						
维	Maintain		11	1084	35	wéi	You think this old car has reached the end of its thread (not line - it's even more tenuous than that). It's a real turkey now, and prohibitively expensive to maintain.	0,040762461	520	wei2	to preserve/to maintain/to hold together/dimension						
统	Overall		9	1085	35	tǒng	By the time you're writing the overall conclusions for your report you may be tempted to relax - but you shouldn't! You still have sufficient thread to hang yourself, if you make some over-generalisation.	0,085693311	264	tong3	to gather/to unite/to unify/whole						
给	Give		9	1086	35	{gěi,jǐ}	If your loved one uses some thread to repair your clothes, make sure you meet your mouth with theirs to give them some thanks!	0,112563554	180	gei3/ji3	to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide						
结	Tie		9	1087	35	{jié,jiē,jì}	You are tied to all the important people in your life by red thread - and if you are lucky you will get to meet them quickly	0,093886422	236	jie1/jie2	knot/sturdy/to bear (fruit)/bond/to tie/to bind						
终	End		8	1088	35	zhōng	Winter, when you are stuck indoors, is a perfect time to use thread to make a new garment. In the process you might come to the end of your thread supplies, and have to wait for new silkworms in the new year to continue.	0,037483976	558	zhong1	end/finish						
级	Rank		6	1089	35	jí	The natives defer to your military rank and offer you fine golden threads as a tribute in their outstretched hands	0,052721386	415	ji2	level/grade/rank/step						
纪	Epoch		6	1090	35	{jì,jǐ}	Epochs move in a cycle like an oroboros: a snake that forms a continuous thread by eating its own tail	0,03568143	584	ji4	discipline/age/era/period/order/record						
红	Red		6	1091	35	{hóng,hōng,gōng}	A worker got smacked with an I-beam and red stuff poured everywhere, until someone came along and patched him up with some thread	0,042299897	502	hong2	bonus/popular/red/revolutionary						
约	Make an appointment		6	1092	35	yuē	This soup chef organises his kitchen around a giant thread with ladles threaded on to it - to make an appointment with the kitchen you thread the appropriately-coloured ladle onto the thread and wait.	0,051238213	424	yao1/yue1	weigh, appointment/agreement/to arrange/to restrict/approximately						
细	Fine		8	1093	35	xì	You need a fine brain and a steady hand to deal with a thread as fine as this.	0,035097463	597	xi4	fine/minutely/thin/slender						
纵	Vertical		7	1094	35	{zòng,zǒng,sǒng}	In a vertically integrated industry, there is a clear thread through one company from the raw materials, to the assembly line, and finally to the customer	0,010645257	1236	zong1/zong4	vertical, even if/release						
绿	Green		11	1095	35	{lǜ,lù}	You thread snowmen onto threads so that you can hang them against the green background of your Christmas tree.	0,013650363	1088	lu:4/lv4	green/chlorine						
经	Scripture		8	1096	35	{jīng,jìng}	The scriptures are very specific about garments: you can't mix two different kinds of threads on the same spool.	0,248748323	62	jing1	classics/sacred book/pass through/to undergo/scripture						
轻	Lightweight		9	1097	35	qīng	Your wallet is feeling a bit lightweight these days, but you can reduce your petrol costs by getting a lightweight car. Such cars are perfect for car (s)pooling!	0,046434178	460	qing1	light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/soft						
续	Continue		11	1098	35	xù	The Frenchmen selling you the bust just won't stop! He continues his pitch in the same thread by blathering about his latest wonderful project	0,038204375	552	xu4	continue/replenish						
继	Carry on		10	1099	35	jì	The latest Carry On film is Carry On Angler, where in a notable scene the fisherman hilariously gets tangled up in the thread of his rice-baited fishhook, so he falls into the water!	0,031228292	655	ji4	to continue/to follow after/then/afterwards/to go on with/to succeed/to inherit						
药	Medicine		12	1100	35	{yào,yuè}	You're going to the doctors to get some medicine to treat your allergy to flowers, but first you need to make an appointment. This is quite hard when you can't stop sneezing over the phone!	0,030536834	662	yao4	medicine/drug/cure						
系	Lineage		7	1101	35	{xì,jì}	DNA is one long drop of miniscule floss, precisely encoding your lineage	0,098586583	216	xi4	be/connection/relation/tie up/bind, be/system/to tie/department/faculty, connect/to tie						
紧	Tight		10	1102	35	jǐn	You really want to be inside that tight woman, but you are foiled again - she rejects you because you don't floss!	0,037363565	560	jin3	tight/nervous/strict						
绷	stretch taut	繃		2371	35	bēng			2978	beng1/beng3	to stretch/taut/to tie/to bind, to have a taut face						
纤	fiber	纖		2372	35	Xiān			2106	qian4/xian1	boatman's tow-rope, fine/delicate/minute						
绰	ample	綽		2373	35	Chuò			2930	chuo4/chao1	generous/ample/wide/spacious/well-off						
绍	acquaint	紹		2374	35	Shào			1234	shao4	connect/to introduce						
纱	yarn	紗		2375	35	Shā			2430	sha1	cotton yarn/muslin						
络	web	絡		2376	35	Luò			1118	lao4/luo4	small net, net-like						
绸	silk fabric	綢		2377	35	Chóu			2635	chou2	(light) silk						
绒	down	絨		2378	35	Róng			2678	rong2	velvet/woolen						
绕	go around	繞		2379	35	Rào			1485	rao4	go around/to wind (around)						
绽	split at the seams	綻		2380	35	zhàn			3130	zhan4	ripped seam						
绵	continuous	綿		2381	35	Mián			2186	mian2	cotton/incessant/soft/downy						
缔	conclude	締		2382	35	Dì			2688	di4	closely joined/connection/knot						
纺	spin	紡		2383	35	Fǎng			2409	fang3	spin						
缠	wind around	纏		2384	35	Chán			2046	chan2	to bother/wind around/wrap round/coil/involve/annoy/tangle						
绘	paint	繪		2385	35	Huì			1809	hui4	to draw/to paint						
纷	disorderly	紛		2386	35	Fēn			1181	fen1	numerous/confused/disorderly						
绣	embroidery	繡		2387	35	Xiù			2434	xiu4	to embroider						
缕	in detail	縷		2388	35	lǚ			2894	lu:3/lv3	state in detail/strand/thread						
缩	shrink	縮		2389	35	Suō			1304	suo1	to withdraw/to pull back/to contract/to shrink/to reduce						
纳	let in	納		2390	35	Nà			684	na4	to accept/to pay (tax etc.)						
综	sum up	綜		2391	35	Zōng			1425	zong1	to sum up						
绅	gentry	紳		2392	35	Shēn			2554	shen1	member of gentry						
绪	inception	緒		2393	35	Xù			1413	xu4	beginnings/clues/mental state/thread						
绞	wring	絞		2394	35	Jiǎo			2672	jiao3	hang (a criminal)/to turn/to twist/to wind						
缓	unhurried	緩		2395	35	Huǎn			1111	huan3	slow/sluggish/gradual/to postpone						
暖	warm	暖		2396	35	Nuǎn			1745	nuan3	warm						
援	provide assistance	援		2397	35	Yuán			1197	yuan2	to help/to assist/to aid						
绢	tough silk	絹		2398	35	juàn			2385	juan4	thick but loosely woven silk						
捐	contribute	捐		2399	35	Juān			2235	juan1	to contribute/to donate/tax/to abandon						
缴	shell out	繳		2400	35	Jiǎo			1834	jiao3	hand in/hand over						
邀	request the presence of	邀		2401	35	Yāo			1854	yao1	invite to come						
缆	cable	纜		2402	35	Lǎn			2821	lan4/lan3	cable/hawser						
哟	Oh!	喲		2403	35	Yō			2524	yo/yo1	(interj) Oh, sound made when expressing surprise/(idiom) used at end of sentence as an exclamation						
颈	neck	頸		2404	35	Jǐng			2117	jing3	neck						
茎	plant stem	莖		2405	35	Jīng			2675	jing1	stalk/stem						
径	trail	徑		2406	35	Jìng			1307	jing4	path						
劲	powerful	勁		2407	35	Jìng			1358	jin4/jing4	strength, stalwart/sturdy						
幼	young	幼		2408	35	Yòu			1577	you4	young						
溪	creek	溪		2409	35	Xī			2194	qi1/xi1	creek, creek						
幽	secluded	幽		2410	35	Yōu			1636	you1	quiet/secluded						
玄	mysterious	玄		2411	35	Xuán			1717	xuan2	black/mysterious						
弦	bowstring	弦		2412	35	Xián			2258	xian2	bow string/string of mus. instr., string of mus. instr.						
畜	livestock	畜		2413	35	Chù			2030	chu4/xu4	livestock/domesticated animal/domestic animal, to raise (animals)						
蓄	save up	蓄		2414	35	Xù			1985	xu4	to store						
磁	magnetism	磁		2415	35	Cí			1771	ci2	magnetic/magnetism/porcelain						
滋	nourish	滋		2416	35	Zī			1931	zi1	excite/nourish/this						
慈	kindhearted	慈		2417	35	Cí			1487	ci2	compassionate/gentle/merciful/kind/humane						
累	tired	累		2418	35	Lèi			1323	lei2/lei3/lei4	cumbersome, accumulate, implicate/tired						
螺	spiral shell	螺		2419	35	Luó			2386	luo2	screw/snail						
紫	purple	紫		2420	35	Zǐ			1646	zi3	purple						
繁	numerous	繁		2421	35	Fán			1296	fan2	complicated/many/in great numbers						
絮	long-winded	絮		2422	35	Xù			3125	xu4	line with cotton wadding						
索	large rope	索		2423	35	Suǒ			805	suo3	to search/to demand/to ask/to exact/large rope/isolated						
脖	head-hinge	脖		2424	35	Bó			2175	bo2	neck						
勃	vibrant	勃		2425	35	Bó			1533	bo2	flourishing/prosperous/suddenly/abruptly						
却	Withdraw		7	1103	36	què	You go to the post office to buy some stamps, but you learn that all the stamps have gone! You have to withdraw in defeat hastily, before you can be crushed by the hordes of pensioners going to get their money	0,076835097	287	que4	but/yet/however/while/to go back/to decline/to retreat/nevertheless						
脚	Foot		11	1104	36	{jiǎo,jué}	The foot is the part of your body that you need to withdraw from the ass of those people that have pissed you off	0,023011925	790	jiao3/jue2	a kick/foot/role, role						
服	Apparel		8	1105	36	{fú,fù,bì}	The latest trend in American apparel: clothing so outrageous that it is no more than a stamp covering your crotch	0,060443706	365	fu2	clothes/dress/garment/submit/take (medicine)						
报	Newspaper		7	1106	36	bào	This indie newspaper is doing manual mailouts: the fingers on the right hands of its editors are affixing stamps to the copies they send out	0,094267293	234	bao4	to announce/to inform/report/newspaper/recompense/revenge						
命	Fate		8	1107	36	mìng	When you are born, your soul is mailed to you body - and the stamp on the envelope tells the ethereal postal service where the soul fits, and hence its fate.	0,087004912	258	ming4	life/fate						
贸	Trade		9	1108	36	mào	The business of trade can earn you a lot of shells, but you have to be fast with a letter-opener to get the breaking news in trade ahead of your rivals	0,013538737	1092	mao4	commerce/trade						
留	Stay		10	1109	36	{liú,liǔ,liù}	You are kneeling down in a rice field, about to be executed by decapitation. Just at that moment, a letter is delivered to your executioner: he opens it with his letter opener, and announces grudgingly that you have recieved a stay of execution!	0,037873632	554	liu2	leave (message)/to retain/to stay/to remain/to keep/to preserve						
溜	Slide		13	1110	36	{liū,liù,liú}	You're staying in a beautiful little Japanese hot springs with a great novelty - real sliding doors! You slide open the doors to the balcony of your room and have a fantastic view of the water of the springs where you are staying.	0,00410069	1923	liu1	slip away/to skate						
聊	Chat		11	1111	36	{liáo,liú}	This woman loves to chat, gossip and spread rumors. Thus it is that she always eagerly awaits the mail, letter opener in hand, so that she can be the first to (h)ear the latest news and spew it into her friend's ears.	0,004064515	1932	liao2	to chat/to have a chat/to kill time						
柳	Willow		9	1112	36	liǔ	The wood of the willow tree is particularly prized as a material for letter openers because of their lightness and strength	0,006533198	1557	liu3	willow/Liu (a surname)						
节	Holiday		8	1113	36	{jié,jiē}	By the time you come back from holiday, your garden has become completely overrun: you need to go back in there and chop back the flowers before they take over completely!	0,041381053	514	jie2/jie1	festival/section/segment/point/part/to economize/to save/temperate						
